Restaurant,Quality Rating,Meal Price ($),Wait Time (min)
1,Good,18,5
2,Very Good,22,6
3,Good,28,1
4,Excellent,38,74
5,Very Good,33,6
6,Good,28,5
7,Very Good,19,11
8,Very Good,11,9
9,Very Good,23,13
10,Good,13,1
11,Very Good,33,18
12,Very Good,44,7
13,Excellent,42,18
14,Excellent,34,46
15,Good,25,0
16,Good,22,3
17,Good,26,3
18,Excellent,17,36
19,Very Good,30,7
20,Good,19,3
21,Very Good,33,10
22,Very Good,22,14
23,Excellent,32,27
24,Excellent,33,80
25,Very Good,34,9
26,Very Good,38,13
27,Good,27,1
28,Good,27,3
29,Very Good,26,7
30,Very Good,34,9
31,Very Good,35,14
32,Good,25,2
33,Excellent,44,34
34,Good,26,1
35,Excellent,47,29
36,Good,10,1
37,Excellent,35,41
38,Good,12,4
39,Good,15,3
40,Excellent,27,21
41,Good,19,0
42,Excellent,45,24
43,Very Good,32,15
44,Very Good,14,11
45,Excellent,40,29
46,Excellent,31,39
47,Very Good,17,10
48,Very Good,20,16
49,Excellent,36,40
50,Excellent,24,20
51,Very Good,38,19
52,Good,10,3
53,Very Good,10,12
54,Excellent,21,28
55,Very Good,34,15
56,Very Good,31,14
57,Excellent,25,40
58,Good,22,2
59,Very Good,28,11
60,Good,10,4
61,Very Good,27,14
62,Excellent,41,30
63,Very Good,35,13
64,Good,11,0
65,Good,18,1
66,Excellent,40,36
67,Very Good,48,10
68,Excellent,26,33
69,Very Good,12,19
70,Good,20,4
71,Very Good,38,12
72,Very Good,36,13
73,Very Good,37,11
74,Very Good,24,15
75,Very Good,18,10
76,Very Good,34,13
77,Very Good,28,16
78,Very Good,25,16
79,Very Good,25,12
80,Very Good,30,6
81,Very Good,21,16
82,Excellent,28,30
83,Very Good,16,14
84,Good,23,2
85,Excellent,46,94
86,Very Good,14,10
87,Good,11,2
88,Very Good,20,14
89,Very Good,32,15
90,Excellent,20,21
91,Very Good,24,10
92,Very Good,14,15
93,Very Good,24,18
94,Excellent,33,22
95,Good,23,1
96,Very Good,28,10
97,Very Good,17,11
98,Excellent,28,42
99,Very Good,16,15
100,Excellent,31,13
101,Very Good,27,12
102,Excellent,30,14
103,Good,33,1
104,Excellent,32,42
105,Good,19,5
106,Very Good,25,17
107,Very Good,25,14
108,Good,20,0
109,Excellent,37,39
110,Very Good,27,6
111,Very Good,28,8
112,Good,20,4
113,Very Good,31,6
114,Very Good,26,12
115,Very Good,38,8
116,Good,15,1
117,Good,25,5
118,Very Good,40,13
119,Very Good,35,15
120,Good,20,1
121,Very Good,23,7
122,Very Good,13,12
123,Good,20,1
124,Good,20,5
125,Good,10,5
126,Very Good,17,11
127,Very Good,20,10
128,Very Good,21,11
129,Excellent,35,45
130,Excellent,41,37
131,Good,28,3
132,Excellent,30,14
133,Very Good,31,16
134,Excellent,33,34
135,Excellent,32,29
136,Good,18,2
137,Good,27,4
138,Excellent,38,44
139,Very Good,23,12
140,Very Good,32,15
141,Very Good,25,13
142,Very Good,28,10
143,Good,19,2
144,Very Good,14,18
145,Very Good,19,12
146,Very Good,18,7
147,Very Good,16,14
148,Very Good,42,8
149,Very Good,12,12
150,Good,14,0
151,Very Good,26,13
152,Good,15,5
153,Very Good,14,8
154,Good,20,5
155,Very Good,30,18
156,Good,16,0
157,Good,21,2
158,Excellent,35,35
159,Very Good,30,17
160,Very Good,31,16
161,Very Good,28,6
162,Very Good,19,9
163,Excellent,43,24
164,Good,17,0
165,Excellent,27,24
166,Excellent,32,40
167,Excellent,36,22
168,Very Good,21,12
169,Very Good,11,13
170,Excellent,48,19
171,Very Good,13,15
172,Good,19,0
173,Very Good,35,10
174,Very Good,28,15
175,Good,13,4
176,Very Good,32,15
177,Excellent,27,44
178,Very Good,33,10
179,Very Good,37,8
180,Very Good,28,9
181,Good,24,5
182,Good,10,3
183,Very Good,36,10
184,Very Good,37,9
185,Very Good,25,13
186,Very Good,11,12
187,Good,11,4
188,Very Good,11,18
189,Good,10,3
190,Good,29,2
191,Very Good,14,7
192,Very Good,21,18
193,Good,28,3
194,Very Good,42,15
195,Very Good,30,9
196,Excellent,41,45
197,Good,22,2
198,Good,23,2
199,Very Good,27,19
200,Very Good,13,19
201,Very Good,28,17
202,Good,12,5
203,Excellent,23,22
204,Very Good,30,12
205,Good,17,1
206,Good,20,0
207,Good,20,1
208,Good,26,3
209,Good,18,2
210,Very Good,13,18
211,Very Good,25,13
212,Very Good,22,15
213,Very Good,27,13
214,Very Good,21,18
215,Very Good,32,16
216,Very Good,16,12
217,Very Good,20,10
218,Good,27,1
219,Excellent,44,33
220,Very Good,35,11
221,Very Good,21,14
222,Very Good,30,17
223,Good,23,2
224,Good,19,5
225,Very Good,18,12
226,Excellent,36,31
227,Good,29,6
228,Very Good,20,8
229,Good,17,3
230,Very Good,45,7
231,Good,20,6
232,Excellent,41,46
233,Good,26,4
234,Good,16,2
235,Very Good,23,10
236,Excellent,31,18
237,Very Good,23,8
238,Very Good,20,17
239,Very Good,38,7
240,Good,17,1
241,Excellent,46,23
242,Very Good,26,13
243,Very Good,24,7
244,Very Good,21,10
245,Excellent,30,41
246,Excellent,13,15
247,Excellent,23,20
248,Very Good,25,8
249,Very Good,28,17
250,Very Good,13,13
251,Very Good,27,10
252,Very Good,15,15
253,Good,11,4
254,Excellent,40,23
255,Good,28,0
256,Excellent,46,42
257,Very Good,32,16
258,Good,12,2
259,Good,37,0
260,Excellent,22,29
261,Excellent,42,18
262,Very Good,21,18
263,Excellent,32,15
264,Excellent,34,30
265,Very Good,37,9
266,Excellent,20,33
267,Very Good,21,19
268,Very Good,16,16
269,Excellent,47,20
270,Very Good,33,15
271,Excellent,48,23
272,Very Good,33,6
273,Very Good,25,14
274,Very Good,34,6
275,Very Good,20,15
276,Excellent,36,21
277,Excellent,40,31
278,Good,13,4
279,Very Good,12,10
280,Very Good,27,14
281,Very Good,20,11
282,Excellent,30,21
283,Good,29,0
284,Very Good,22,10
285,Good,27,0
286,Very Good,20,18
287,Excellent,37,35
288,Very Good,27,9
289,Good,23,3
290,Good,16,4
291,Very Good,23,10
292,Very Good,24,13
293,Excellent,45,32
294,Good,14,3
295,Good,18,3
296,Good,17,5
297,Good,16,2
298,Good,15,1
299,Very Good,38,10
300,Very Good,31,15