University,Endowment Amount
Amherst College,2.2
Boston College,2.3
Boston University,2
Brown University,3.2
California Institute of Technology,2.6
Carnegie Mellon University,2.2
Case Western Reserve University,1.8
Columbia University,10
Cornell University,6.8
Dartmouth College,5
Duke University,7.9
Emory University,6.9
George Washington University,1.7
Georgetown University,1.7
Georgia Institute of Technology,2
Grinnell College,1.9
Harvard University,36
Indiana University,2.2
Johns Hopkins University,3.8
Massachusetts Institute of Technology,15
Michigan State University,2.7
New York University,4
Northwestern University,10.4
Ohio State University,4.3
Pennsylvania State University,4
Pomona College,2.2
Princeton University,23.8
Purdue University,2.4
Rice University,5.8
Rockefeller University,2
Smith College,1.8
Stanford University,24.8
Swarthmore College,2
Texas A&M University,11.6
Tufts University,1.7
University of California,9.8
"University of California, Berkeley",1.8
"University of California, Los Angeles",2.1
University of Chicago,7.5
University of Illinois,2.6
University of Michigan,10.9
University of Minnesota,3.5
University of North Carolina at Chapel Hill,3
University of Notre Dame,9.4
University of Oklahoma,1.6
University of Pennsylvania,12.2
University of Pittsburgh,3.9
University of Richmond,2.4
University of Rochester,2.1
University of Southern California,5.1
University of Texas,26.5
University of Virginia,8.6
University of Washington,2.5
University of WisconsinÂ¡VMadison,2.7
Vanderbilt University,4.1
Virginia Commonwealth University,1.8
Washington University in St. Louis,7.9
Wellesley College,1.9
Williams College,2.5
Yale University,27.2